the			number:66
to			number:44
he			number:33
you			number:32
and			number:29
of			number:28
a			number:26
that			number:26
was			number:26
play			number:25
would			number:23
in			number:20
Dad			number:17
He			number:17
for			number:16
I			number:15
his			number:15
it			number:14
mandolin			number:14
who			number:12
could			number:11
t			number:11
family			number:10
have			number:10
had			number:9
on			number:9
those			number:9
with			number:9
enough			number:8
life			number:8
make			number:8
When			number:7
as			number:7
want			number:7
well			number:7
when			number:7
be			number:6
not			number:6
one			number:6
so			number:6
their			number:6
time			number:6
us			number:6
Davey			number:5
We			number:5
around			number:5
before			number:5
but			number:5
day			number:5
father			number:5
finger			number:5
him			number:5
out			number:5
song			number:5
this			number:5
we			number:5
your			number:5
The			number:4
accident			number:4
at			number:4
can			number:4
few			number:4
go			number:4
how			number:4
just			number:4
man			number:4
never			number:4
often			number:4
only			number:4
our			number:4
sing			number:4
them			number:4
up			number:4
were			number:4
Bells			number:3
Crockett			number:3
Silver			number:3
after			number:3
don			number:3
down			number:3
farm			number:3
from			number:3
get			number:3
if			number:3
is			number:3
knew			number:3
learned			number:3
local			number:3
my			number:3
old			number:3
others			number:3
people			number:3
played			number:3
s			number:3
see			number:3
something			number:3
there			number:3
way			number:3
will			number:3
August			number:2
Christmas			number:2
Frontier			number:2
His			number:2
If			number:2
In			number:2
King			number:2
Maryland			number:2
One			number:2
Steel			number:2
Todd			number:2
Wild			number:2
You			number:2
ability			number:2
again			number:2
all			number:2
along			number:2
always			number:2
an			number:2
appreciate			number:2
are			number:2
asked			number:2
back			number:2
band			number:2
best			number:2
came			number:2
children			number:2
comes			number:2
couldn			number:2
crying			number:2
did			number:2
didn			number:2
do			number:2
employment			number:2
enjoyed			number:2
everyone			number:2
everything			number:2
excuses			number:2
favorite			number:2
felt			number:2
heard			number:2
hearing			number:2
home			number:2
house			number:2
hurts			number:2
job			number:2
leave			number:2
let			number:2
like			number:2
lives			number:2
loved			number:2
message			number:2
miss			number:2
much			number:2
music			number:2
or			number:2
other			number:2
over			number:2
past			number:2
probably			number:2
program			number:2
quarry			number:2
really			number:2
smile			number:2
smiling			number:2
someone			number:2
strength			number:2
they			number:2
things			number:2
times			number:2
told			number:2
touched			number:2
town			number:2
very			number:2
what			number:2
where			number:2
worked			number:2
younger			number:2
About			number:1
After			number:1
Air			number:1
Always			number:1
And			number:1
Another			number:1
As			number:1
Bakerton			number:1
Cline			number:1
Company			number:1
Cross			number:1
Disney			number:1
Dream			number:1
Dundalk			number:1
Eventually			number:1
For			number:1
Force			number:1
George			number:1
God			number:1
Happiness			number:1
Harbor			number:1
Have			number:1
January			number:1
Jr			number:1
Life			number:1
Lights			number:1
Live			number:1
Love			number:1
Mandolin			number:1
May			number:1
Monte			number:1
My			number:1
Nobody			number:1
Occasionally			number:1
Okay			number:1
Old			number:1
On			number:1
Only			number:1
Owens			number:1
Patsy			number:1
Please			number:1
Point			number:1
Rocks			number:1
Rugged			number:1
Since			number:1
Songs			number:1
States			number:1
Tennessee			number:1
There			number:1
They			number:1
This			number:1
Trisha			number:1
United			number:1
Virginia			number:1
Walt			number:1
Waltz			number:1
West			number:1
Whenever			number:1
While			number:1
Yacht			number:1
accompanied			number:1
amputated			number:1
angle			number:1
another			number:1
any			number:1
anything			number:1
ask			number:1
audition			number:1
auditioned			number:1
bad			number:1
based			number:1
because			number:1
begins			number:1
between			number:1
born			number:1
brighten			number:1
brighter			number:1
brightest			number:1
cancer			number:1
carry			number:1
chance			number:1
cheerful			number:1
chemotherapy			number:1
chose			number:1
city			number:1
closed			number:1
come			number:1
complete			number:1
conveyor			number:1
country			number:1
cry			number:1
cursing			number:1
dances			number:1
death			number:1
diagnosed			number:1
die			number:1
difference			number:1
dignity			number:1
doctor			number:1
doing			number:1
done			number:1
dream			number:1
dreams			number:1
drinking			number:1
dry			number:1
earned			number:1
efforts			number:1
ended			number:1
ends			number:1
environment			number:1
especially			number:1
even			number:1
eye			number:1
failures			number:1
farmer			number:1
farther			number:1
featured			number:1
feel			number:1
forgotten			number:1
friendship			number:1
future			number:1
gained			number:1
give			number:1
giving			number:1
glad			number:1
good			number:1
got			number:1
grows			number:1
hand			number:1
happen			number:1
happier			number:1
happiest			number:1
happiness			number:1
happy			number:1
having			number:1
hear			number:1
heartaches			number:1
hired			number:1
hold			number:1
hope			number:1
hug			number:1
human			number:1
humble			number:1
hurt			number:1
hymn			number:1
hymns			number:1
impact			number:1
importance			number:1
index			number:1
inner			number:1
inoperable			number:1
instrument			number:1
into			number:1
involved			number:1
iron			number:1
its			number:1
joined			number:1
keep			number:1
kiss			number:1
know			number:1
knowing			number:1
known			number:1
last			number:1
lead			number:1
left			number:1
lies			number:1
lifeuntil			number:1
limestone			number:1
line			number:1
little			number:1
live			number:1
living			number:1
looked			number:1
lose			number:1
lot			number:1
lung			number:1
made			number:1
makes			number:1
mashed			number:1
mature			number:1
mean			number:1
member			number:1
memory			number:1
moments			number:1
most			number:1
moved			number:1
necessarily			number:1
need			number:1
notes			number:1
nothing			number:1
occasions			number:1
okay			number:1
onto			number:1
operated			number:1
opportunity			number:1
own			number:1
owned			number:1
particular			number:1
person			number:1
pick			number:1
picking			number:1
pieces			number:1
player			number:1
players			number:1
playing			number:1
pleasing			number:1
pleasure			number:1
position			number:1
pride			number:1
production			number:1
property			number:1
put			number:1
quiet			number:1
radio			number:1
re			number:1
read			number:1
real			number:1
realized			number:1
receive			number:1
regret			number:1
religious			number:1
reluctant			number:1
remember			number:1
rendition			number:1
rest			number:1
ring			number:1
roll			number:1
sacrificed			number:1
sacrificing			number:1
said			number:1
save			number:1
saw			number:1
say			number:1
searched			number:1
seek			number:1
seemed			number:1
self			number:1
send			number:1
series			number:1
sharecropped			number:1
shared			number:1
shine			number:1
shoes			number:1
sick			number:1
side			number:1
singer			number:1
singing			number:1
small			number:1
songs			number:1
sorrow			number:1
soul			number:1
stated			number:1
station			number:1
steel			number:1
still			number:1
stop			number:1
string			number:1
strings			number:1
strong			number:1
stronger			number:1
such			number:1
sure			number:1
sweet			number:1
taught			number:1
tear			number:1
third			number:1
three			number:1
throughout			number:1
tip			number:1
tones			number:1
too			number:1
touch			number:1
treatments			number:1
trials			number:1
tried			number:1
tune			number:1
tuned			number:1
twice			number:1
two			number:1
type			number:1
used			number:1
wear			number:1
week			number:1
welders			number:1
went			number:1
why			number:1
words			number:1
working			number:1
worry			number:1
wouldn			number:1
young			number:1
yourself			number:1
单词的总数是:0
